HSC	Prog	EarlyE	LateE	ProMono	Mono	ncMono	cDC	pDC	B	Plasma	T	CTL	NK
AVP	MPO	HBB	HBA2	MPO	S100A9	LST1	CST3	IRF8	IGHM	IGKC	LTB	CCL5	FCER1G
SOX4	ELANE	AHSP	HBB	LYZ	S100A8	AIF1	HLA-DRA	TCF4	MS4A1	IGLC3	CCR7	GZMH	KLRC1
SPINK2	FOS	HBA1	HBA1	S100A8	VCAN	MS4A7	LYZ	TCL1A	CD79A	IGHA1	RCAN3	NKG7	TRDC
FOS	C1QTNF4	BLVRB	HBD	S100A9	LYZ	LYPD2	HLA-DRB1	CCDC50	HLA-DRA	IGLC2	IL7R	GZMA	PTGDS
PRSS57	PRTN3	HBD	HBM	PRTN3	FCN1	FCER1G	HLA-DQB1	ITM2C	IGLC2	IGHM	TSHZ2	TRGC2	SPON2
EGFL7	PRSS57	HBA2	AHSP	FOS	MNDA	IFITM3	CD74	UGCG	RALGPS2	JCHAIN	MAL	CST7	CEBPD
AIF1	MGST1	H1-5	HEMGN	ELANE	FOS	CDKN1C	HLA-DPA1	SOX4	BANK1	IGHG1	LEF1	GNLY	IL2RB
CDK6	CDK6	PRDX2	BLVRB	AZU1	CD14	SERPINA1	FOS	PTGDS	IGKC	IGHD	SELL	FGFBP2	CLIC3
LYL1	SOX4	TFRC	SLC4A1	VCAN	S100A12	CST3	HLA-DPB1	BCL11A	CD74	IGHG4	NOSIP	CD8A	KLRB1
YBX3	AZU1	FAM178B	SLC25A37	RETN	CTSS	FCN1	HLA-DQA1	SCT	CD79B	IGHG3	CAMK4	CMC1	AKR1C3
NRIP1	STMN1	SLC25A37	CA1	MNDA	FGL2	CTSS	FCER1A	IGLL1	IGLC3	MZB1	TCF7	KLRD1	GZMB
LMO4	IGFBP7	CD36	GYPA	CFD	CST3	APOBEC3A	CLEC10A	PLD4	HLA-DRB1	IGHA2	AQP3	KLRG1	CHST2
MSI2	SPINK2	HBM	CA2	GRN	AIF1	COTL1	MS4A6A	APP	HLA-DQB1	IGHV3-23	TRABD2A	CCL4	GNLY
LMO2	ITM2C	KLF1	GYPB	RNASE2	PSAP	PSAP	FGL2	PPP1R14B	IGHD	DERL3	IL6ST	CTSW	IGFBP7
SLC40A1	IGLL1	TMEM14C	PRDX2	FCN1	TYMP	DUSP6	CPVL	HLA-DRA	CCDC50	TNFRSF17	PRKCA	CD8B	TYROBP
MYB	FABP5	CENPF	CENPF	TKT	LST1	FGL2	CCDC88A	MZB1	BCL11A	IGLL5	INPP4B	SAMD3	PRF1
ANKRD28	YBX3	H4C3	HMBS	MS4A6A	MS4A6A	FCGR3A	MNDA	IRF7	HLA-DPB1	SEC11C	PIK3IP1	PRF1	CXXC5
CYTL1	TYMS	KCNH2	H4C3	FOSB	GRN	C1QA	LGALS2	CD74	TNFRSF13C	ITM2C	FHIT	GZMK	ID2
SERPINB1	CAT	NFIA	H1-5	CEBPD	MPEG1	CD68	FCN1	STMN1	SWAP70	HSP90B1	RGCC	CCL3L3	KLRF1
CRHBP	MACROH2A1	SYNGR1	MKI67	EREG	SERPINA1	FTL	FCER1G	CST3	MARCHF1	IGLV1-51	SARAF	GZMB	FCGR3A
LAPTM4B	AIF1	PCLAF	SNCA	SYK	CD36	DUSP1	LST1	GAPT	HLA-DPA1	HERPUD1	SERINC5	CX3CR1	CTBP2
MGST1	MYC	NME4	UROD	SRGN	NCF2	MAFB	HLA-DMA	LAMP5	MEF2C	UBE2J1	PAG1	EFHD2	METRNL
MACROH2A1	NREP	TOP2A	SPTA1	CTSG	CFD	LYN	HLA-DRB5	SPIB	VPREB3	IGLV6-57	SESN3	GZMM	TXK
ZNF385D	NUCB2	HEMGN	HMGB2	APLP2	APLP2	FTH1	COTL1	TPM2	MARCKS	EAF2	FAM102A	KLRF1	RASSF4
ANGPT1	TUBA1B	HMBS	TOP2A	MKI67	KCTD12	SPI1	HLA-DQA2	MPEG1	AFF3	CD38	DGKA	PLEK	FGFBP2
GUCY1A1	HLA-DRA	CA1	H1-0	MGST1	CLEC12A	CFD	ALDH2	FCER1G	CD22	FKBP11	SUSD3	ADGRG1	CCL3
PCDH9	PCLAF	MKI67	RHAG	LST1	PLBD1	LILRB2	CTSZ	CCDC88A	ARHGAP24	IRF4	MAML2	XCL2	KLRD1
SOCS2	ATP8B4	LMNA	TFRC	CKAP4	CSF3R	CSF1R	AIF1	MAP1A	HLA-DMB	MYDGF	TNFRSF25	C1orf21	SH2D1B
CD34	IRF8	APOC1	KLF1	TNFSF13B	TKT	CEBPB	HLA-DMB	JCHAIN	CD24	SSR3	FYB1	FCRL6	CD160
NPR3	SERPINB1	TYMS	RHCE	RAB32	CSTA	IGSF6	IGSF6	MEF2C	HLA-DQA1	MEF2C	ID3	MATK	PRSS23
SMIM24	FOSB	UROD	TUBA1B	CLEC12A	FCER1G	TYMP	GRN	BLNK	TCF4	CD79A	TPT1	LYAR	NCAM1
CLU	GAPDH	EPCAM	MYL4	IRAK3	IGSF6	MARCKS	CIITA	RNASE6	CTSH	MAN1A1	RGS10	C12orf75	HIPK2
MSRB3	CFD	LMO2	SLC25A39	EGR1	CPVL	RHOB	VCAN	DERL3	COBLL1	PPIB	BIRC3	APOBEC3G	C1orf162
TALDO1	TNFSF13B	ATP5IF1	EPB42	CCDC88A	COTL1	LGALS3	BASP1	CLEC4C	TNFRSF13B	MANF	FOXP1	MYBL1	GNPTAB
IL18	NAP1L1	SLC4A1	H3C2	CST3	CEBPD	LRRC25	SPI1	NIBAN3	SPIB	XBP1	SH3YL1	HCST	CD247
EBPL	BCL11A	ANK1	CD36	CLEC11A	DUSP6	C1QB	S100A9	FCHSD2	BLK	PDIA4	LDLRAP1	SYNE1	TLE1
ERG	NPW	TMEM14B	SELENBP1	CSTA	SPI1	PILRA	KCTD12	NPC2	BIRC3	LMAN1	CD4	TIGIT	EFHD2
CSF3R	LMO2	TUBA1B	ANK1	PLBD1	CYP1B1	HLA-DRA	IFITM3	HERPUD1	BASP1	SDF2L1	EIF3E	ZEB2	HAVCR2
BCL11A	RAB32	PRKAR2B	LGALS3	PKM	TNFSF13B	TYROBP	CD1C	MS4A6A	FCRL2	JUN	TXK	HOPX	PTGDR
ATP8B4	CD74	MPC2	CAT	MACROH2A1	NCF1	POU2F2	CTSH	ALDH2	PAX5	ISG20	OXNAD1	PTGDR	LYN
HMGA1	HMGA1	GLRX5	UBE2S	KIAA0930	MARCHF1	TCF7L2	ENHO	SERPINB2	NCF1	TENT5C	BCL11B	CCL4L2	CEP78
CD164	GSTP1	HEBP1	FAM210B	IGFBP7	JAML	CLEC12A	TYMP	AFF3	AIM2	TXNDC5	NELL2	RUNX3	CX3CR1
ZFP36L2	SMIM24	MYL4	MGST3	ENO1	CD68	C5AR1	JAML	HLA-DMA	HVCN1	IGKV1-39	LEPROTL1	CTSC	CD38
IGFBP7	CLEC11A	GYPA	SMIM1	IL17RA	TNFAIP2	LMO2	TNFSF13B	RUNX2	CD40	SELENOS	ABLIM1	S1PR5	S1PR5
ZNRF1	MSRB3	STMN1	TLCD4	RNF130	F13A1	HLA-DPA1	MEF2C	HLA-DRB1	CD37	FOSB	PASK	TPST2	HOPX
HSP90AB1	CSF3R	SMIM1	PTTG1	STMN1	CTSD	CD300E	C1orf162	HLA-DPA1	ADAM28	FCRL5	RETREG1	MYO1F	NCR3
DIPK1B	MYB	RHAG	CENPE	S100A12	LGALS3	HCK	PAK1	SERPINF1	LTB	HSPA5	CD28	EOMES	NKG7
EIF3E	MCM4	CENPU	TUBB	AIF1	CLEC7A	CLEC7A	RNF130	CAPG	POU2F2	TXNDC11	NPM1	IL32	ADGRG1
HLA-DRA	HELLS	SPTA1	ASPM	CTSZ	HLA-DRA	HLA-DRB1	MARCHF1	LILRA4	SYK	TNFRSF13B	TMEM123	FCGR3A	MYBL1
KRT18	H2AZ1	HSPD1	TUBB4B	KCTD12	MARCKS	NAMPT	FCGRT	MAPKAPK2	JCHAIN	PALM2AKAP2	BCL2	AOAH	PLAC8
